t	X	Y	Z	Yaw	Pitch	Roll	N	Vxyz	DVxyz	VxyzE	Wxyz	WxyzT	Angles	XYZ	DEuleron	DHeading	DLift	P	Q	M	Va	AoA	AoS
0.521792	4.044251	-0.000005	100.009575	0.008575	1.43321	1.072381	X=0.000 Y=0.000 Z=0.000	X=19.556 Y=-0.181 Z=0.007	X=-2.096 Y=-1.830 Z=0.147	X=19.614 Y=0.195 Z=0.002	X=0.252 Y=0.000 Z=0.344	X=1.062 Y=-0.003 Z=1.520	P=1.433210 Y=-0.008575 R=1.072381	X=4.044 Y=100.010 Z=-0.000	-20.0	0.232327	-20.0	9.577944	234.258881	0.05747	19.556673	0.009275	0.000354
1.022743	13.47301	0.110749	101.01051	2.775755	16.856842	15.055298	X=0.000 Y=0.000 Z=0.000	X=17.975 Y=-0.432 Z=0.177	X=-3.524 Y=1.251 Z=0.284	X=17.476 Y=4.560 Z=0.802	X=0.641 Y=-0.092 Z=0.426	X=-0.218 Y=-0.293 Z=-1.541	P=16.856842 Y=-2.775755 R=15.055298	X=13.473 Y=101.011 Z=0.111	-2.578606	-19.486839	14.409426	11.881685	198.042252	0.052841	17.981499	0.024041	0.009822
1.540321	21.949108	0.983132	103.816814	9.835215	19.291348	29.602549	X=0.000 Y=0.000 Z=0.000	X=16.656 Y=-0.040 Z=0.103	X=-1.761 Y=0.059 Z=-0.086	X=15.558 Y=5.474 Z=2.657	X=0.146 Y=-0.251 Z=0.041	X=-0.816 Y=-0.067 Z=-0.003	P=19.291348 Y=-9.835215 R=29.602551	X=21.949 Y=103.817 Z=0.983	18.313944	-20.0	0.050972	13.941404	169.931107	0.048947	16.656487	0.00243	0.006176
2.037248	29.478908	2.756542	106.315515	18.023449	17.131741	32.955399	X=0.000 Y=0.000 Z=0.000	X=16.066 Y=-0.134 Z=0.097	X=-0.809 Y=-0.234 Z=-0.124	X=14.692 Y=4.604 Z=4.662	X=-0.052 Y=-0.299 Z=0.134	X=-0.198 Y=-0.059 Z=0.208	P=17.131740 Y=-18.023449 R=32.955399	X=29.479 Y=106.316 Z=2.757	9.845056	-20.0	-4.718596	14.869781	158.115234	0.047215	16.066963	0.008324	0.006067
2.520074	36.321914	5.528811	108.44258	27.976858	16.474432	33.568604	X=0.000 Y=0.000 Z=0.000	X=15.773 Y=-0.211 Z=0.095	X=-0.473 Y=-0.085 Z=0.004	X=13.506 Y=4.262 Z=6.974	X=-0.099 Y=-0.305 Z=0.195	X=-0.027 Y=-0.042 Z=0.051	P=16.474433 Y=-27.976858 R=33.568604	X=36.322 Y=108.443 Z=5.529	6.716569	-20.0	-3.742457	15.320715	152.411896	0.046356	15.774529	0.013358	0.006044
3.038958	42.915251	9.749239	110.625137	39.424709	16.364492	33.698944	X=0.000 Y=0.000 Z=0.000	X=15.583 Y=-0.234 Z=0.088	X=-0.284 Y=-0.025 Z=0.024	X=11.742 Y=4.160 Z=9.378	X=-0.109 Y=-0.310 Z=0.206	X=-0.004 Y=-0.003 Z=0.007	P=16.364492 Y=-39.424710 R=33.698945	X=42.915 Y=110.625 Z=9.749	6.065867	-20.0	-3.447146	15.611346	148.768845	0.045798	15.584861	0.015012	0.00563
3.528651	48.20057	14.81615	112.650899	50.367786	16.338909	32.717556	X=0.000 Y=0.000 Z=0.000	X=15.475 Y=-0.243 Z=0.075	X=-0.176 Y=-0.026 Z=-0.082	X=9.683 Y=4.118 Z=11.356	X=-0.246 Y=-0.311 Z=0.204	X=-0.474 Y=0.044 Z=-0.020	P=16.338909 Y=-50.367785 R=32.717555	X=48.201 Y=112.651 Z=14.816	20.0	-20.0	-3.693962	15.778258	146.711166	0.04548	15.476707	0.015734	0.004862
4.041575	52.597466	21.034387	114.782849	60.885025	17.061676	25.468355	X=0.000 Y=0.000 Z=0.000	X=15.383 Y=-0.253 Z=0.048	X=-0.207 Y=0.013 Z=-0.048	X=7.360 Y=4.259 Z=12.828	X=-0.447 Y=-0.246 Z=0.170	X=-0.319 Y=0.174 Z=-0.124	P=17.061676 Y=-60.885022 R=25.468355	X=52.597 Y=114.783 Z=21.034	20.0	-20.0	-2.61661	15.914226	144.980286	0.045211	15.385139	0.01646	0.00311
4.538535	55.800714	27.582459	116.987508	67.724792	18.651867	13.812103	X=0.000 Y=0.000 Z=0.000	X=15.257 Y=-0.224 Z=0.029	X=-0.286 Y=0.092 Z=0.023	X=5.592 Y=4.648 Z=13.423	X=-0.452 Y=-0.129 Z=0.088	X=0.429 Y=0.257 Z=-0.178	P=18.651867 Y=-67.724793 R=13.812103	X=55.801 Y=116.988 Z=27.582	1.350605	-20.0	-0.520344	16.101128	142.609589	0.04484	15.258833	0.014653	0.001897
5.01971	58.278654	34.063988	119.295534	70.354431	19.666811	4.776325	X=0.000 Y=0.000 Z=0.000	X=15.122 Y=-0.179 Z=0.031	X=-0.254 Y=0.074 Z=-0.109	X=4.812 Y=4.913 Z=13.476	X=-0.240 Y=-0.048 Z=0.019	X=0.511 Y=0.083 Z=-0.095	P=19.666812 Y=-70.354433 R=4.776325	X=58.279 Y=119.296 Z=34.064	-5.521616	-13.626332	-0.248613	16.306089	140.086243	0.044442	15.123235	0.011826	0.002055
5.539454	60.70833	41.056493	121.861378	71.169304	19.79353	0.659822	X=0.000 Y=0.000 Z=0.000	X=15.019 Y=-0.163 Z=0.002	X=-0.149 Y=-0.001 Z=-0.035	X=4.583 Y=4.934 Z=13.430	X=-0.086 Y=-0.008 Z=-0.001	X=0.172 Y=0.038 Z=-0.006	P=19.793530 Y=-71.169309 R=0.659822	X=60.708 Y=121.861 Z=41.056	-2.218318	-2.603793	-1.111315	16.464649	138.183884	0.044139	15.020198	0.010886	0.000111
6.034891	62.970869	47.699388	124.297568	71.169273	19.754955	-0.803088	X=0.000 Y=0.000 Z=0.000	X=14.963 Y=-0.167 Z=-0.008	X=-0.087 Y=-0.009 Z=-0.006	X=4.568 Y=4.901 Z=13.383	X=-0.022 Y=0.006 Z=-0.001	X=0.082 Y=0.014 Z=0.003	P=19.754954 Y=-71.169273 R=-0.803088	X=62.971 Y=124.298 Z=47.699	-1.956841	1.515122	-1.269953	16.550447	137.156921	0.043975	14.96428	0.011186	-0.000538
6.527549	65.231529	54.281086	126.707639	70.912971	19.745884	-1.155122	X=0.000 Y=0.000 Z=0.000	X=14.930 Y=-0.170 Z=-0.010	X=-0.053 Y=-0.004 Z=-0.001	X=4.617 Y=4.884 Z=13.334	X=-0.001 Y=0.010 Z=0.000	X=0.020 Y=0.003 Z=0.000	P=19.745885 Y=-70.912970 R=-1.155122	X=65.232 Y=126.708 Z=54.281	-0.9766	2.585601	-1.263164	16.601339	136.5513	0.043877	14.931206	0.011412	-0.000649
7.041319	67.618952	61.121053	129.214551	70.620987	19.744366	-0.644597	X=0.000 Y=0.000 Z=0.000	X=14.909 Y=-0.172 Z=-0.004	X=-0.032 Y=-0.002 Z=0.012	X=4.675 Y=4.875 Z=13.293	X=0.027 Y=0.006 Z=0.000	X=-0.028 Y=-0.016 Z=-0.000	P=19.744366 Y=-70.620987 R=-0.644597	X=67.619 Y=129.215 Z=61.121	-0.099428	1.883036	-1.271598	16.63343	136.169479	0.043816	14.910316	0.011529	-0.000243
7.533092	69.924662	67.652957	131.610829	70.508232	19.744999	-0.164342	X=0.000 Y=0.000 Z=0.000	X=14.897 Y=-0.173 Z=-0.001	X=-0.019 Y=-0.001 Z=0.003	X=4.698 Y=4.870 Z=13.273	X=0.010 Y=0.002 Z=0.000	X=-0.027 Y=-0.006 Z=-0.000	P=19.744999 Y=-70.508233 R=-0.164342	X=69.925 Y=131.611 Z=67.653	0.421718	0.515122	-1.274606	16.652126	135.947021	0.04378	14.898131	0.01159	-0.000048
8.021999	72.222613	74.140035	133.991232	70.483994	19.744305	-0.022489	X=0.000 Y=0.000 Z=0.000	X=14.890 Y=-0.173 Z=-0.000	X=-0.012 Y=-0.001 Z=0.001	X=4.701 Y=4.867 Z=13.265	X=0.002 Y=0.000 Z=-0.000	X=-0.008 Y=-0.001 Z=0.000	P=19.744305 Y=-70.483995 R=-0.022489	X=72.223 Y=133.991 Z=74.140	0.15712	0.078407	-1.280737	16.66354	135.81131	0.043758	14.890694	0.011627	-0.000003
8.532918	74.624429	80.915975	136.477429	70.481705	19.743467	0.001547	X=0.000 Y=0.000 Z=0.000	X=14.885 Y=-0.173 Z=0.000	X=-0.007 Y=-0.001 Z=-0.000	X=4.700 Y=4.865 Z=13.260	X=0.000 Y=-0.000 Z=-0.000	X=-0.001 Y=-0.000 Z=0.000	P=19.743466 Y=-70.481704 R=0.001547	X=74.624 Y=136.477 Z=80.916	0.029515	-0.002093	-1.284032	16.670767	135.725769	0.043745	14.886003	0.011653	0.000002
9.019629	76.911953	87.369301	138.845016	70.482254	19.743061	0.00177	X=0.000 Y=0.000 Z=0.000	X=14.882 Y=-0.174 Z=0.000	X=-0.004 Y=-0.000 Z=-0.000	X=4.699 Y=4.864 Z=13.258	X=-0.000 Y=-0.000 Z=-0.000	X=-0.000 Y=0.000 Z=0.000	P=19.743047 Y=-70.482275 R=0.001703	X=76.912 Y=138.845 Z=87.369	0.002197	-0.004733	-1.285487	16.674894	135.676559	0.043737	14.883305	0.011668	0.000001
9.529202	79.306536	94.124819	141.323316	70.48259	19.742804	0.000529	X=0.000 Y=0.000 Z=0.000	X=14.881 Y=-0.174 Z=0.000	X=-0.003 Y=-0.000 Z=-0.000	X=4.699 Y=4.863 Z=13.256	X=-0.000 Y=-0.000 Z=-0.000	X=0.000 Y=0.000 Z=0.000	P=19.742795 Y=-70.482602 R=0.000494	X=79.307 Y=141.323 Z=94.125	-0.00091	-0.001498	-1.28647	16.677523	135.645355	0.043732	14.881593	0.011677	0.0
10.037715	81.695895	100.865675	143.796144	70.482674	19.742657	0.000104	X=0.000 Y=0.000 Z=0.000	X=14.880 Y=-0.174 Z=0.000	X=-0.002 Y=-0.000 Z=-0.000	X=4.699 Y=4.863 Z=13.256	X=-0.000 Y=-0.000 Z=-0.000	X=0.000 Y=0.000 Z=0.000	P=19.742639 Y=-70.482679 R=0.000076	X=81.696 Y=143.796 Z=100.866	-0.000415	-0.000255	-1.287072	16.679089	135.626724	0.043729	14.88057	0.011683	0.0
10.52297	83.975847	107.297883	146.155697	70.482689	19.742556	0.000003	X=0.000 Y=0.000 Z=0.000	X=14.879 Y=-0.174 Z=-0.000	X=-0.001 Y=-0.000 Z=-0.000	X=4.698 Y=4.862 Z=13.255	X=-0.000 Y=-0.000 Z=-0.008	X=0.000 Y=0.000 Z=-0.342	P=19.742549 Y=-70.482688 R=0.000001	X=83.976 Y=146.156 Z=107.298	-0.000098	-0.00001	3.712578	16.679998	135.615936	0.043727	14.879979	0.011686	-0.0
11.03773	86.413095	114.17386	148.540242	70.482689	14.159612	-0.000004	X=0.000 Y=0.000 Z=0.000	X=15.042 Y=0.131 Z=-0.000	X=0.810 Y=0.472 Z=0.000	X=4.845 Y=3.919 Z=13.669	X=0.000 Y=0.000 Z=-0.372	X=0.000 Y=-0.000 Z=-0.281	P=14.159611 Y=-70.482688 R=-0.000004	X=86.413 Y=148.540 Z=114.174	-0.000009	0.000011	7.182419	16.466209	138.588516	0.044203	15.042172	-0.008736	-0.0
11.537693	88.926576	121.264905	149.866708	70.482689	3.461506	-0.000001	X=0.000 Y=0.000 Z=0.000	X=15.762 Y=0.129 Z=-0.000	X=1.908 Y=-0.376 Z=0.000	X=5.234 Y=1.213 Z=14.765	X=0.000 Y=0.000 Z=-0.284	X=-0.000 Y=-0.000 Z=0.700	P=3.461506 Y=-70.482688 R=-0.000001	X=88.927 Y=149.867 Z=121.265	0.000002	0.000004	-7.062763	15.432056	152.177414	0.04632	15.762389	-0.008206	-0.0
12.024184	91.551425	128.670142	150.030981	70.482689	-0.690045	-0.0	X=0.000 Y=0.000 Z=0.000	X=16.685 Y=-0.073 Z=-0.000	X=1.647 Y=-0.284 Z=0.000	X=5.558 Y=-0.255 Z=15.681	X=0.000 Y=0.000 Z=-0.012	X=-0.000 Y=-0.000 Z=0.338	P=-0.690045 Y=-70.482687 R=-0.000000	X=91.551 Y=150.031 Z=128.670	0.000001	0.000001	-4.847346	14.041294	170.523682	0.049033	16.685503	0.004399	-0.0
12.545467	94.508192	137.011787	149.899508	70.482689	-0.198087	-0.0	X=0.000 Y=0.000 Z=0.000	X=17.305 Y=-0.082 Z=-0.000	X=0.849 Y=0.098 Z=0.000	X=5.774 Y=-0.153 Z=16.288	X=0.000 Y=0.000 Z=0.016	X=-0.000 Y=-0.000 Z=-0.057	P=-0.198086 Y=-70.482687 R=-0.000000	X=94.508 Y=149.900 Z=137.012	0.0	0.0	0.104369	13.076769	183.424744	0.050854	17.305172	0.004745	-0.0
13.034587	97.359465	145.055811	149.85392	70.482689	-0.036706	-0.0	X=0.000 Y=0.000 Z=0.000	X=17.617 Y=-0.047 Z=-0.000	X=0.488 Y=0.039 Z=0.000	X=5.882 Y=-0.059 Z=16.593	X=0.000 Y=0.000 Z=-0.000	X=-0.000 Y=-0.000 Z=-0.008	P=-0.036706 Y=-70.482687 R=-0.000000	X=97.359 Y=149.854 Z=145.056	0.0	0.0	-0.200217	12.592841	190.099777	0.051771	17.617235	0.002686	-0.0
13.522486	100.244794	153.195916	149.826697	70.482689	-0.051748	-0.0	X=0.000 Y=0.000 Z=0.000	X=17.800 Y=-0.037 Z=-0.000	X=0.289 Y=0.014 Z=0.000	X=5.944 Y=-0.053 Z=16.770	X=0.000 Y=0.000 Z=0.000	X=-0.000 Y=-0.000 Z=0.003	P=-0.051789 Y=-70.482687 R=-0.000000	X=100.245 Y=149.827 Z=153.196	0.0	0.0	-0.260657	12.311079	194.071854	0.052309	17.800337	0.002063	-0.0